IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,4.02
47.236.172.95,2053,2053,true,SIN,Asia Pacific,Singapore,144,4.02
47.236.144.48,2087,2087,true,SIN,Asia Pacific,Singapore,96,4.02
47.236.254.120,2053,2053,true,SIN,Asia Pacific,Singapore,50,4.01
8.218.18.132,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,4.01
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,99,4.00
47.243.203.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,4.00
8.219.106.156,2083,2083,true,SIN,Asia Pacific,Singapore,208,4.00
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,51,3.98
47.242.17.250,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,3.96
47.243.5.154,2096,2096,true,HKG,Asia Pacific,Hong Kong,77,3.96
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,3.95
8.218.3.12,8443,8443,true,HKG,Asia Pacific,Hong Kong,80,3.95
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,45,3.94
8.210.245.224,443,443,true,HKG,Asia Pacific,Hong Kong,96,3.94
8.218.65.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,3.93
8.219.201.8,2083,2083,true,SIN,Asia Pacific,Singapore,31,3.92
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,3.92
8.219.1.169,443,443,true,SIN,Asia Pacific,Singapore,55,3.91
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,80,3.91
8.218.126.53,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,3.90
47.236.75.113,2087,2087,true,SIN,Asia Pacific,Singapore,103,3.90
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,54,3.90
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,42,3.90
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,3.90
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,39,3.90
47.236.87.246,2087,2087,true,SIN,Asia Pacific,Singapore,57,3.90
8.218.204.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,102,3.89
8.218.174.118,2087,2087,true,HKG,Asia Pacific,Hong Kong,118,3.89
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,59,3.87
47.236.10.100,8443,8443,true,SIN,Asia Pacific,Singapore,71,3.87
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,135,3.87
8.218.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,78,3.86
47.76.49.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,86,3.86
47.237.11.182,8443,8443,true,SIN,Asia Pacific,Singapore,33,3.85
8.218.18.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,3.84
47.236.9.152,2083,2083,true,SIN,Asia Pacific,Singapore,86,3.83
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,84,3.81
47.76.80.72,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,3.81
47.236.83.239,8443,8443,true,SIN,Asia Pacific,Singapore,119,3.81
8.222.214.231,8443,8443,true,SIN,Asia Pacific,Singapore,76,3.79
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,3.79
8.218.22.210,8443,8443,true,HKG,Asia Pacific,Hong Kong,87,3.78
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,3.77
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,3.77
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,192,3.77
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,22,3.77
47.237.81.112,2083,2083,true,SIN,Asia Pacific,Singapore,30,3.77
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,88,3.76
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,61,3.76
47.236.237.90,2087,2087,true,SIN,Asia Pacific,Singapore,51,3.76
47.236.9.152,2053,2053,true,SIN,Asia Pacific,Singapore,42,3.75
8.219.51.211,2096,2096,true,SIN,Asia Pacific,Singapore,63,3.75
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,95,3.75
47.242.36.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,3.75
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,120,3.75
8.217.251.62,2083,2083,true,HKG,Asia Pacific,Hong Kong,107,3.74
47.243.67.28,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,3.74
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,88,3.74
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,78,3.74
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,3.73
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,99,3.72
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,49,3.71
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,28,3.71
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,3.71
47.237.8.82,2096,2096,true,SIN,Asia Pacific,Singapore,25,3.70
47.236.144.208,8443,8443,true,SIN,Asia Pacific,Singapore,79,3.69
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,190,3.69
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,142,3.69
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,29,3.68
8.222.222.64,2083,2083,true,SIN,Asia Pacific,Singapore,81,3.68
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,57,3.68
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,102,3.68
47.236.80.110,2096,2096,true,SIN,Asia Pacific,Singapore,67,3.66
8.210.65.1,443,443,true,HKG,Asia Pacific,Hong Kong,49,3.66
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,50,3.66
47.243.173.187,443,443,true,HKG,Asia Pacific,Hong Kong,35,3.66
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,103,3.64
47.243.90.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,3.63
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,3.63
8.219.120.87,2053,2053,true,SIN,Asia Pacific,Singapore,80,3.62
8.217.193.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,101,3.62
47.243.60.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,3.62
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,81,3.62
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,74,3.62
8.222.208.38,2083,2083,true,SIN,Asia Pacific,Singapore,103,3.62
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,41,3.61
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,92,3.61
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,79,3.60
47.236.10.100,2083,2083,true,SIN,Asia Pacific,Singapore,84,3.60
8.222.175.6,443,443,true,SIN,Asia Pacific,Singapore,51,3.59
8.210.3.24,443,443,true,HKG,Asia Pacific,Hong Kong,91,3.58
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,3.58
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,81,3.57
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,51,3.57
8.218.181.189,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,3.55
47.243.27.217,8443,8443,true,HKG,Asia Pacific,Hong Kong,86,3.55
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,32,3.54
47.236.232.148,2083,2083,true,SIN,Asia Pacific,Singapore,63,3.54
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,56,3.54
47.236.174.206,2083,2083,true,SIN,Asia Pacific,Singapore,55,3.53
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,3.52
47.236.232.148,2083,2083,true,SIN,Asia Pacific,Singapore,54,3.52
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,60,3.51
47.236.83.239,2096,2096,true,SIN,Asia Pacific,Singapore,95,3.48
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,91,3.48
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,61,3.48
8.222.156.242,2083,2083,true,SIN,Asia Pacific,Singapore,41,3.47
47.242.17.250,2096,2096,true,HKG,Asia Pacific,Hong Kong,61,3.47
47.236.9.152,8443,8443,true,SIN,Asia Pacific,Singapore,58,3.46
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,277,3.45
8.219.67.133,8443,8443,true,SIN,Asia Pacific,Singapore,124,3.45
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,52,3.43
47.242.59.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,63,3.43
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,3.43
8.218.48.92,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,3.42
8.219.209.14,2053,2053,true,SIN,Asia Pacific,Singapore,64,3.41
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,44,3.40
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,36,3.40
8.218.243.95,2087,2087,true,HKG,Asia Pacific,Hong Kong,87,3.40
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,53,3.39
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,71,3.39
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,96,3.39
47.236.10.100,2053,2053,true,SIN,Asia Pacific,Singapore,89,3.39
8.219.229.190,2087,2087,true,SIN,Asia Pacific,Singapore,76,3.38
47.237.10.1,2083,2083,true,SIN,Asia Pacific,Singapore,57,3.38
8.222.249.190,2087,2087,true,SIN,Asia Pacific,Singapore,59,3.38
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,92,3.36
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,104,3.36
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,37,3.35
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,117,3.35
8.218.136.25,8443,8443,true,HKG,Asia Pacific,Hong Kong,72,3.33
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,80,3.33
47.237.10.1,2096,2096,true,SIN,Asia Pacific,Singapore,60,3.32
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,61,3.32
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,59,3.32
