IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
163.123.174.225,2083,80,false,SEA,North America,Seattle,195,0.00
163.123.174.16,2052,80,false,SEA,North America,Seattle,195,0.00
163.123.174.210,2086,80,false,SEA,North America,Seattle,195,0.00
163.123.174.42,2053,80,false,SEA,North America,Seattle,195,0.00
163.123.174.17,2083,80,false,SEA,North America,Seattle,195,0.00
163.123.174.42,2096,80,false,SEA,North America,Seattle,195,0.00
163.123.174.205,2096,80,false,SEA,North America,Seattle,195,0.00
163.123.174.23,2053,80,false,SEA,North America,Seattle,195,0.00
163.123.174.50,2087,80,false,SEA,North America,Seattle,195,0.00
163.123.174.252,2096,80,false,SEA,North America,Seattle,196,0.00
163.123.174.23,2086,80,false,SEA,North America,Seattle,196,0.00
163.123.174.50,2083,80,false,SEA,North America,Seattle,196,0.00
163.123.174.219,2052,80,false,SEA,North America,Seattle,196,0.00
163.123.174.36,2052,80,false,SEA,North America,Seattle,196,0.00
163.123.174.50,2086,80,false,SEA,North America,Seattle,196,0.00
163.123.174.16,2096,80,false,SEA,North America,Seattle,196,0.00
163.123.174.219,2082,80,false,SEA,North America,Seattle,196,0.00
163.123.174.23,2095,80,false,SEA,North America,Seattle,196,0.00
163.123.174.59,2095,80,false,SEA,North America,Seattle,196,0.00
163.123.174.16,2095,80,false,SEA,North America,Seattle,197,0.00
163.123.174.59,2087,80,false,SEA,North America,Seattle,197,0.00
163.123.174.225,2052,80,false,SEA,North America,Seattle,201,0.00
163.123.174.17,2082,80,false,SEA,North America,Seattle,202,0.00
163.123.174.217,2095,80,false,SEA,North America,Seattle,202,0.00
163.123.174.201,2053,80,false,SEA,North America,Seattle,203,0.00
163.123.174.205,2082,80,false,SEA,North America,Seattle,203,0.00
163.123.174.219,2086,80,false,SEA,North America,Seattle,203,0.00
163.123.174.24,2087,80,false,SEA,North America,Seattle,203,0.00
163.123.174.219,2087,80,false,SEA,North America,Seattle,203,0.00
163.123.174.59,2053,80,false,SEA,North America,Seattle,203,0.00
163.123.174.36,2053,80,false,SEA,North America,Seattle,203,0.00
163.123.174.225,2053,80,false,SEA,North America,Seattle,204,0.00
163.123.174.205,2052,80,false,SEA,North America,Seattle,204,0.00
163.123.174.36,2083,80,false,SEA,North America,Seattle,204,0.00
163.123.174.16,2087,80,false,SEA,North America,Seattle,204,0.00
163.123.174.17,2052,80,false,SEA,North America,Seattle,204,0.00
163.123.174.17,2095,80,false,SEA,North America,Seattle,204,0.00
163.123.174.36,2096,80,false,SEA,North America,Seattle,204,0.00
163.123.174.59,2052,80,false,SEA,North America,Seattle,204,0.00
163.123.174.50,2095,80,false,SEA,North America,Seattle,204,0.00
163.123.174.217,2052,80,false,SEA,North America,Seattle,204,0.00
163.123.174.252,2053,80,false,SEA,North America,Seattle,204,0.00
163.123.174.205,2083,80,false,SEA,North America,Seattle,205,0.00
163.123.174.248,2053,80,false,SEA,North America,Seattle,205,0.00
163.123.174.23,2096,80,false,SEA,North America,Seattle,205,0.00
163.123.174.42,2082,80,false,SEA,North America,Seattle,205,0.00
163.123.174.217,2053,80,false,SEA,North America,Seattle,205,0.00
163.123.174.236,2053,80,false,SEA,North America,Seattle,205,0.00
163.123.174.23,2082,80,false,SEA,North America,Seattle,205,0.00
163.123.174.36,2087,80,false,SEA,North America,Seattle,205,0.00
163.123.174.225,2095,80,false,SEA,North America,Seattle,206,0.00
163.123.174.205,2053,80,false,SEA,North America,Seattle,206,0.00
163.123.174.232,2096,80,false,SEA,North America,Seattle,206,0.00
163.123.174.253,2082,80,false,SEA,North America,Seattle,206,0.00
163.123.174.23,2052,80,false,SEA,North America,Seattle,206,0.00
163.123.174.219,2096,80,false,SEA,North America,Seattle,207,0.00
163.123.174.51,2086,80,false,SEA,North America,Seattle,207,0.00
163.123.174.42,2087,80,false,SEA,North America,Seattle,209,0.00
163.123.174.225,2096,80,false,SEA,North America,Seattle,209,0.00
163.123.174.252,2086,80,false,SEA,North America,Seattle,209,0.00
163.123.174.214,2096,80,false,SEA,North America,Seattle,210,0.00
163.123.174.16,2053,80,false,SEA,North America,Seattle,210,0.00
163.123.174.42,2086,80,false,SEA,North America,Seattle,210,0.00
163.123.174.249,2053,80,false,SEA,North America,Seattle,210,0.00
163.123.174.16,2086,80,false,SEA,North America,Seattle,210,0.00
163.123.174.205,2087,80,false,SEA,North America,Seattle,210,0.00
163.123.174.50,2052,80,false,SEA,North America,Seattle,210,0.00
163.123.174.219,2095,80,false,SEA,North America,Seattle,211,0.00
163.123.174.17,2087,80,false,SEA,North America,Seattle,211,0.00
163.123.174.217,2096,80,false,SEA,North America,Seattle,211,0.00
163.123.174.219,2083,80,false,SEA,North America,Seattle,211,0.00
163.123.174.217,2083,80,false,SEA,North America,Seattle,211,0.00
163.123.174.217,2082,80,false,SEA,North America,Seattle,211,0.00
163.123.174.42,2095,80,false,SEA,North America,Seattle,211,0.00
163.123.174.23,2087,80,false,SEA,North America,Seattle,212,0.00
163.123.174.205,2086,80,false,SEA,North America,Seattle,212,0.00
163.123.174.42,2083,80,false,SEA,North America,Seattle,214,0.00
